name,url,town,county,calendar_path,notes,status,last_checked,review_note
Amityville Chamber,http://www.amityvillechamber.org/,Amityville,Suffolk,,imported from Copy of suffolk
Babylon Chamber,http://www.babylonvillagechamber.org/,Babylon,Suffolk,,imported from Copy of suffolk
Copiague Chamber,https://www.copiaguechamber.org/,Copiague,Suffolk,,imported from Copy of suffolk
Deer Park Chamber,https://chamberofdeerpark.org/,Deer Park,Suffolk,,updated from chamber refresh
Lindenhurst Chamber,http://lindenhurstchamber.org/,Lindenhurst,Suffolk,,imported from Copy of suffolk
North Amityville Chamber,http://www.longisland.com/north-amityville/chambers-of-commerce/,North Amityville,Suffolk,,imported from Copy of suffolk
North Babylon Chamber,http://www.northbabylonchamber.org/,North Babylon,Suffolk,,imported from Copy of suffolk
West Babylon Chamber,http://www.gaebler.com/West+Babylon--New+York--Chamber-of-Commerce,West Babylon,Suffolk,,imported from Copy of suffolk
Wyandanch Chamber,https://www.chamberofcommerce.com/wyandanch-ny,Wyandanch,Suffolk,,imported from Copy of suffolk
Bellport Chamber,http://www.bellportchamberofcommerce.com/,Bellport,Suffolk,,imported from Copy of suffolk
Blue Point Chamber,http://bayportbluepoint.com/,Blue Point,Suffolk,,imported from Copy of suffolk
Brookhaven Chamber,http://www.northbrookhavenchamber.org/,Brookhaven,Suffolk,,imported from Copy of suffolk
Calverton Chamber,https://northforkchamber.org/,Calverton,Suffolk,,updated from chamber refresh
Centereach Chamber,https://middlecountrychamber.com/,Centereach,Suffolk,,updated from chamber refresh
Center Moriches Chamber,http://www.moricheschamber.org/,Center Moriches,Suffolk,,imported from Copy of suffolk
Coram Chamber,http://www.gaebler.com/Coram--New+York--Chamber-of-Commerce,Coram,Suffolk,,imported from Copy of suffolk
East Moriches Chamber,http://www.manorvillechamber.org/,East Moriches,Suffolk,,imported from Copy of suffolk
East Patchogue Chamber,https://patchogue.com/,East Patchogue,Suffolk,,updated from chamber refresh
Eastport Chamber,http://www.eastport.net/,Eastport,Suffolk,,imported from Copy of suffolk
East Setauket Chamber,http://www.manta.com/c/mr5st59/east-setauket-three-village-chamber-of-commerce,East Setauket,Suffolk,,imported from Copy of suffolk
